"Quadro 1.2 - População residente por nacionalidade, por local de residência (NUTS I/II/III/Município), Portugal, 2021",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"NUTS I, II, III
Município",População residente ,,,,15 Principais nacionalidades estrangeiras ,,,,,,,,,,,,,,
,Total ,Nacionalidade portuguesa ,Nacionalidade estrangeira,Apátrida ,Brasil,Angola,Cabo Verde,Reino Unido,Ucrânia,França,China,Guiné-Bissau,Índia,Roménia,Itália,Nepal,Espanha,Alemanha,São Tomé e Príncipe
Óbidos, 11 922, 11 115,  807,  ,  146,  13,  1,  185,  35,  74,  9,  12,  1,  11,  16,  46,  6,  23,  1
Peniche, 26 429, 25 343, 1 086,  ,  355,  31,  38,  88,  47,  73,  33,  30,  10,  28,  30,  15,  26,  40,  7
Sobral de Monte Agraço, 10 540, 10 046,  494,  ,  313,  12,  4,  8,  34,  11,  3,  1,  ,  6,  7,  2,  5,  7,  8
Torres Vedras, 83 072, 78 079, 4 993,  , 2 037,  150,  32,  108,  294,  92,  116,  35,  282,  236,  67,  545,  69,  60,  8
Região de Aveiro, 367 403, 354 077, 13 323,  3, 5 767,  664,  149,  156,  687,  409,  374,  235,  278,  103,  246,  115,  323,  161,  205
Águeda, 46 119, 44 502, 1 617,  ,  690,  73,  24,  15,  101,  38,  32,  27,  44,  16,  33,  6,  30,  12,  17
Albergaria-a-Velha, 24 840, 24 093,  747,  ,  300,  18,  9,  5,  54,  19,  17,  6,  78,  4,  8,  4,  19,  10,  8
Anadia, 27 532, 26 722,  809,  1,  325,  33,  10,  13,  62,  42,  16,  4,  11,  4,  10,  12,  13,  9,  16
Aveiro, 80 954, 76 377, 4 577,  , 2 269,  295,  71,  51,  231,  62,  135,  98,  60,  35,  106,  30,  105,  39,  55
Estarreja, 26 213, 25 511,  702,  ,  185,  26,  2,  6,  22,  26,  34,  3,  51,  3,  6,  41,  20,  12,  4
Ílhavo, 39 235, 37 798, 1 437,  ,  607,  68,  12,  16,  54,  64,  43,  78,  9,  26,  28,  7,  54,  35,  10
Murtosa, 10 476, 10 208,  268,  ,  83,  10,  ,  1,  11,  26,  4,  4,  7,  2,  5,  ,  13,  8,  
Oliveira do Bairro, 23 132, 22 074, 1 058,  ,  440,  46,  5,  11,  59,  27,  38,  5,  ,  5,  16,  2,  18,  5,  57
Ovar, 54 953, 53 788, 1 163,  2,  526,  47,  11,  22,  58,  71,  32,  7,  7,  6,  21,  5,  33,  20,  9
Sever do Vouga, 11 063, 10 791,  272,  ,  130,  23,  3,  8,  20,  5,  7,  ,  6,  1,  5,  ,  4,  3,  4
Vagos, 22 886, 22 213,  673,  ,  212,  25,  2,  8,  15,  29,  16,  3,  5,  1,  8,  8,  14,  8,  25
Região de Coimbra, 436 862, 422 096, 14 765,  1, 5 602,  792,  258, 1 568,  603,  565,  470,  144,  246,  185,  293,  401,  257,  302,  153
Arganil, 11 065, 10 500,  565,  ,  95,  10,  2,  242,  8,  20,  8,  ,  ,  3,  3,  ,  3,  22,  2
Cantanhede, 34 212, 33 359,  853,  ,  391,  29,  4,  38,  62,  41,  32,  6,  6,  20,  15,  11,  13,  8,  5
Coimbra, 140 816, 135 338, 5 477,  1, 2 556,  424,  172,  136,  157,  168,  221,  91,  77,  51,  150,  108,  133,  54,  71
Condeixa-a-Nova, 16 732, 16 298,  434,  ,  197,  37,  7,  25,  53,  16,  16,  2,  ,  3,  6,  ,  7,  3,  1
Figueira da Foz, 58 951, 56 482, 2 469,  , 1 096,  74,  11,  90,  129,  124,  62,  10,  50,  20,  57,  219,  36,  40,  21
Góis, 3 811, 3 613,  198,  ,  22,  9,  ,  88,  5,  5,  1,  1,  ,  1,  ,  ,  1,  13,  
