distribuicao_geo_id,localidade_id,nacionalidade_id,populacao_nacional_local,concentracao_relativa,dominio_regional
535,43,15,4,0.38,Baixo
536,43,18,57,5.36,Médio
537,43,8,20,1.88,Baixo
538,43,6,47,4.42,Baixo
539,43,9,3,0.28,Baixo
540,43,10,24,2.26,Baixo
541,43,13,1,0.09,Baixo
542,43,7,16,1.5,Baixo
543,43,1,8,0.75,Baixo
544,43,17,4,0.38,Baixo
545,44,4,467,50.93,Alto
546,44,2,15,1.64,Baixo
547,44,5,13,1.42,Baixo
548,44,15,12,1.31,Baixo
549,44,18,79,8.62,Médio
550,44,8,13,1.42,Baixo
551,44,6,31,3.38,Baixo
552,44,19,48,5.23,Médio
553,44,10,14,1.53,Baixo
554,44,13,21,2.29,Baixo
555,44,7,30,3.27,Baixo
556,44,1,8,0.87,Baixo
557,44,17,15,1.64,Baixo
558,45,4,342,63.69,Alto
559,45,2,20,3.72,Baixo
560,45,5,3,0.56,Baixo
561,45,15,5,0.93,Baixo
562,45,18,22,4.1,Baixo
563,45,8,21,3.91,Baixo
564,45,6,15,2.79,Baixo
565,45,9,2,0.37,Baixo
566,45,19,4,0.74,Baixo
567,45,10,6,1.12,Baixo
568,45,13,2,0.37,Baixo
569,45,7,7,1.3,Baixo
570,45,1,6,1.12,Baixo
571,45,17,6,1.12,Baixo
572,46,4,1135,59.93,Alto
573,46,2,85,4.49,Baixo
574,46,5,21,1.11,Baixo
575,46,15,20,1.06,Baixo
576,46,18,88,4.65,Baixo
577,46,8,63,3.33,Baixo
578,46,6,58,3.06,Baixo
579,46,9,14,0.74,Baixo
580,46,19,17,0.9,Baixo
581,46,10,32,1.69,Baixo
582,46,13,2,0.11,Baixo
583,46,7,51,2.69,Baixo
584,46,1,21,1.11,Baixo
585,46,17,13,0.69,Baixo
586,47,4,890,38.0,Alto
587,47,2,59,2.52,Baixo
588,47,5,9,0.38,Baixo
589,47,15,38,1.62,Baixo
590,47,18,48,2.05,Baixo
591,47,8,73,3.12,Baixo
592,47,6,704,30.06,Alto
593,47,9,9,0.38,Baixo
594,47,19,35,1.49,Baixo
595,47,10,31,1.32,Baixo
596,47,13,7,0.3,Baixo
597,47,7,79,3.37,Baixo
598,47,1,56,2.39,Baixo
599,48,4,5778,56.18,Alto
600,48,2,794,7.72,Médio
601,48,5,164,1.59,Baixo
602,48,15,141,1.37,Baixo
603,48,18,291,2.83,Baixo
604,48,8,319,3.1,Baixo
605,48,6,228,2.22,Baixo
606,48,9,91,0.88,Baixo
607,48,19,81,0.79,Baixo
608,48,10,304,2.96,Baixo
609,48,13,77,0.75,Baixo
610,48,7,279,2.71,Baixo
611,48,1,162,1.58,Baixo
612,48,17,35,0.34,Baixo
613,49,4,409,33.61,Alto
614,49,2,61,5.01,Médio
615,49,5,4,0.33,Baixo
616,49,15,14,1.15,Baixo
617,49,18,32,2.63,Baixo
618,49,8,129,10.6,Alto
619,49,6,90,7.4,Médio
620,49,9,3,0.25,Baixo
621,49,19,10,0.82,Baixo
622,49,10,13,1.07,Baixo
623,49,7,149,12.24,Alto
624,49,1,31,2.55,Baixo
625,49,17,7,0.58,Baixo
626,50,4,27,37.5,Alto
627,50,2,2,2.78,Baixo
628,50,15,2,2.78,Baixo
629,50,18,1,1.39,Baixo
630,50,8,13,18.06,Alto
631,50,6,3,4.17,Baixo
632,50,7,4,5.56,Médio
633,50,1,1,1.39,Baixo
634,50,17,6,8.33,Médio
635,51,4,231,36.49,Alto
636,51,2,40,6.32,Médio
637,51,5,3,0.47,Baixo
638,51,15,3,0.47,Baixo
639,51,18,16,2.53,Baixo
640,51,8,56,8.85,Médio
641,51,6,46,7.27,Médio
642,51,9,2,0.32,Baixo
643,51,10,8,1.26,Baixo
644,51,7,79,12.48,Alto
645,51,1,15,2.37,Baixo
646,52,4,27,21.95,Alto
647,52,2,6,4.88,Baixo
648,52,5,1,0.81,Baixo
649,52,15,5,4.07,Baixo
650,52,18,6,4.88,Baixo
651,52,8,14,11.38,Alto
652,52,6,6,4.88,Baixo
653,52,19,3,2.44,Baixo
654,52,10,3,2.44,Baixo
655,52,7,23,18.7,Alto
656,52,1,4,3.25,Baixo
657,53,4,19,33.33,Alto
658,53,2,3,5.26,Médio
659,53,8,8,14.04,Alto
660,53,6,11,19.3,Alto
661,53,7,6,10.53,Alto
662,53,1,2,3.51,Baixo
663,54,4,56,30.77,Alto
664,54,2,7,3.85,Baixo
665,54,15,3,1.65,Baixo
666,54,18,8,4.4,Baixo
667,54,8,25,13.74,Alto
668,54,6,12,6.59,Médio
669,54,9,1,0.55,Baixo
670,54,10,1,0.55,Baixo
671,54,7,19,10.44,Alto
672,54,1,5,2.75,Baixo
673,55,4,49,32.67,Alto
674,55,2,3,2.0,Baixo
675,55,15,1,0.67,Baixo
676,55,18,1,0.67,Baixo
677,55,8,13,8.67,Médio
678,55,6,12,8.0,Médio
679,55,19,7,4.67,Baixo
680,55,10,1,0.67,Baixo
681,55,7,18,12.0,Alto
682,55,1,4,2.67,Baixo
683,55,17,1,0.67,Baixo
684,56,4,1686,45.0,Alto
685,56,2,232,6.19,Médio
686,56,5,26,0.69,Baixo
687,56,15,81,2.16,Baixo
688,56,18,110,2.94,Baixo
689,56,8,231,6.16,Médio
690,56,6,161,4.3,Baixo
691,56,9,35,0.93,Baixo
692,56,19,38,1.01,Baixo
693,56,10,32,0.85,Baixo
694,56,13,2,0.05,Baixo
695,56,7,137,3.66,Baixo
696,56,1,73,1.95,Baixo
697,56,17,54,1.44,Baixo
698,57,4,231,41.1,Alto
699,57,2,50,8.9,Médio
700,57,5,8,1.42,Baixo
701,57,15,20,3.56,Baixo
702,57,18,16,2.85,Baixo
703,57,8,50,8.9,Médio
704,57,6,14,2.49,Baixo
705,57,9,1,0.18,Baixo
706,57,19,7,1.25,Baixo
707,57,10,3,0.53,Baixo
708,57,7,25,4.45,Baixo
709,57,1,11,1.96,Baixo
710,57,17,2,0.36,Baixo
711,58,4,64,40.76,Alto
712,58,2,6,3.82,Baixo
713,58,15,4,2.55,Baixo
714,58,18,2,1.27,Baixo
715,58,8,9,5.73,Médio
716,58,6,4,2.55,Baixo
717,58,19,2,1.27,Baixo
718,58,10,1,0.64,Baixo
719,58,7,2,1.27,Baixo
720,58,1,2,1.27,Baixo
721,58,17,1,0.64,Baixo
722,59,4,35,26.72,Alto
723,59,2,12,9.16,Médio
724,59,8,11,8.4,Médio
725,59,6,4,3.05,Baixo
726,59,9,1,0.76,Baixo
727,59,19,18,13.74,Alto
728,59,10,2,1.53,Baixo
729,59,7,2,1.53,Baixo
730,59,1,3,2.29,Baixo
731,59,17,20,15.27,Alto
732,60,4,64,34.04,Alto
733,60,2,8,4.26,Baixo
734,60,5,3,1.6,Baixo
735,60,15,4,2.13,Baixo
736,60,18,1,0.53,Baixo
737,60,8,34,18.09,Alto
738,60,6,8,4.26,Baixo
739,60,10,6,3.19,Baixo
740,60,7,13,6.91,Médio
741,60,1,3,1.6,Baixo
742,61,4,58,43.94,Alto
743,61,2,3,2.27,Baixo
744,61,15,7,5.3,Médio
745,61,18,4,3.03,Baixo
746,61,8,7,5.3,Médio
747,61,6,10,7.58,Médio
748,61,9,1,0.76,Baixo
749,61,7,6,4.55,Baixo
750,61,1,1,0.76,Baixo
751,62,4,216,44.54,Alto
752,62,2,28,5.77,Médio
753,62,5,3,0.62,Baixo
754,62,15,9,1.86,Baixo
755,62,18,12,2.47,Baixo
756,62,8,33,6.8,Médio
757,62,6,17,3.51,Baixo
758,62,9,4,0.82,Baixo
759,62,19,4,0.82,Baixo
760,62,10,2,0.41,Baixo
761,62,13,2,0.41,Baixo
762,62,7,10,2.06,Baixo
763,62,1,9,1.86,Baixo
764,63,4,238,48.28,Alto
765,63,2,13,2.64,Baixo
766,63,5,2,0.41,Baixo
767,63,15,5,1.01,Baixo
768,63,18,26,5.27,Médio
769,63,8,16,3.25,Baixo
770,63,6,11,2.23,Baixo
771,63,9,4,0.81,Baixo
772,63,7,20,4.06,Baixo
773,63,1,10,2.03,Baixo
